"expr","time","inits"
"Sparse_1",17684547548,5
"Sparse_1",17076878061,5
"Sparse_1",16102223150,5
"Sparse_1",15775753106,5
"Sparse_1",15691715447,5
"Sparse_1",15729130981,5
"Sparse_1",15839224673,5
"Sparse_1",15750392187,5
"Sparse_1",16110371736,5
"Sparse_1",15728974443,5
"Sparse_1",13599442520,10
"Sparse_1",13687928023,10
"Sparse_1",13647397719,10
"Sparse_1",13770191612,10
"Sparse_1",13653647513,10
"Sparse_1",13680509401,10
"Sparse_1",13684506655,10
"Sparse_1",13656576881,10
"Sparse_1",13683884193,10
"Sparse_1",13653812866,10
"Sparse_1",18761245227,15
"Sparse_1",18880297624,15
"Sparse_1",18915589522,15
"Sparse_1",18951481045,15
"Sparse_1",18868486713,15
"Sparse_1",18861623067,15
"Sparse_1",18855776016,15
"Sparse_1",18865877186,15
"Sparse_1",18863425386,15
"Sparse_1",18910525079,15
"Sparse_1",9700574047,20
"Sparse_1",9698676444,20
"Sparse_1",9765678275,20
"Sparse_1",9753442153,20
"Sparse_1",9759584568,20
"Sparse_1",9787412293,20
"Sparse_1",9741713160,20
"Sparse_1",10160693472,20
"Sparse_1",9699388163,20
"Sparse_1",9805050411,20
"Sparse_1",20123896340,25
"Sparse_1",20229103857,25
"Sparse_1",20245115546,25
"Sparse_1",20196392007,25
"Sparse_1",20270349611,25
"Sparse_1",20240834449,25
"Sparse_1",20216639734,25
"Sparse_1",20192867196,25
"Sparse_1",20224196936,25
"Sparse_1",20263473091,25
"Sparse_1",15200601293,30
"Sparse_1",15305364206,30
"Sparse_1",15260832589,30
"Sparse_1",15287475332,30
"Sparse_1",15263624279,30
"Sparse_1",15249566281,30
"Sparse_1",15289665019,30
"Sparse_1",15263380452,30
"Sparse_1",15310270102,30
"Sparse_1",15230507800,30
"Sparse_1",14152095009,35
"Sparse_1",14244392282,35
"Sparse_1",14266669058,35
"Sparse_1",14168521454,35
"Sparse_1",14260573424,35
"Sparse_1",14217373692,35
"Sparse_1",14327966846,35
"Sparse_1",14207254277,35
"Sparse_1",14242493326,35
"Sparse_1",14198055353,35
"Sparse_1",10063085879,40
"Sparse_1",10064598779,40
"Sparse_1",10112400023,40
"Sparse_1",10121026259,40
"Sparse_1",10064329409,40
"Sparse_1",10128191009,40
"Sparse_1",10096256929,40
"Sparse_1",10101614850,40
"Sparse_1",10121027776,40
